cliente_id,nome,email,telefone,data_nascimento,genero,cidade,estado,renda_anual,profissao,data_cadastro
1,Brenda Alves,samuel32@example.net,+55 51 8196 0013,1978-10-22,Masculino,São Paulo,SP,442980.71,Dentista,2024-05-17
2,Thiago Pereira,novaismiguel@example.net,71 6379-4026,1987-10-23,Masculino,Belo Horizonte,MG,2024137.64,Arquiteto,2023-08-18
3,Dr. Eduardo Cunha,gustavo16@example.org,11 5940 7816,1984-10-22,Masculino,Campinas,SP,821493.12,Promotor,2024-06-05
4,Yuri da Rocha,matheus10@example.net,+55 31 4131-6475,1982-10-22,Masculino,Goiânia,GO,1167394.82,Desenvolvedor de Software,2024-07-06
5,Léo Fogaça,vitorsampaio@example.net,+55 11 9283 2764,1988-10-22,Outro,São Paulo,SP,553565.77,Advogado,2024-10-27
6,Hellena Rodrigues,daniel30@example.com,71 4139 5376,1992-10-22,Masculino,Belo Horizonte,MG,269216.99,Juiz,2023-10-11
7,Natália Casa Grande,joao-lucas38@example.net,+55 71 9696-5328,1968-10-22,Outro,Recife,PE,592368.83,Executivo,2024-11-07
8,Ayla Sá,camargoleandro@example.net,+55 (031) 6916-6978,1987-10-23,Masculino,Belo Horizonte,MG,445086.85,Gestor de TI,2022-08-25
9,Yuri Albuquerque,rodriguesstella@example.com,(081) 1462 7048,1992-10-22,Masculino,Florianópolis,SC,292997.96,Empresário,2023-06-11
10,Thiago Caldeira,natalia93@example.org,31 2880 9570,1984-10-22,Masculino,São José dos Campos,SP,408656.34,Desenvolvedor de Software,2024-02-09
11,Luiz Miguel das Neves,daniloda-costa@example.net,+55 21 1718 2278,1986-10-22,Feminino,Curitiba,PR,691777.59,Arquiteto,2023-02-04
12,João Moura,icunha@example.net,+55 (081) 4657-8713,1979-10-23,Masculino,Florianópolis,SC,1540285.67,Diretor de Empresa,2023-10-18
13,Benício Fernandes,pastorraul@example.net,+55 21 0103-1051,1991-10-23,Masculino,Rio de Janeiro,RJ,139117.87,Professor Universitário,2024-06-05
14,Isabela da Mota,icunha@example.org,0500 973 7631,1997-10-22,Feminino,Porto Alegre,RS,257956.82,Contador,2024-06-16
15,Pedro Fogaça,djesus@example.net,+55 (071) 1065 1333,1987-10-23,Feminino,Florianópolis,SC,1494742.92,Médico,2023-07-09
16,Melissa Carvalho,rcirino@example.com,+55 51 1781 0801,1974-10-22,Masculino,Recife,PE,276391.59,Engenheiro,2022-06-05
17,Enzo Jesus,nmendes@example.com,+55 (081) 2606 4746,1982-10-22,Masculino,Rio de Janeiro,RJ,765233.81,Promotor,2022-11-17
18,Dra. Raquel Cassiano,ana-carolinacunha@example.org,0800 805 0097,1978-10-22,Outro,Manaus,AM,1205996.76,Agente Esportivo,2023-05-11
19,Vitória Castro,moraesenrico@example.org,+55 (084) 9136 1939,1997-10-22,Masculino,Goiânia,GO,418531.04,Executivo,2022-12-22
20,Ana Cecília Pinto,leaorebeca@example.com,+55 71 3534-6247,1978-10-22,Masculino,São Paulo,SP,1322101.89,Investidor,2024-08-11
21,Sr. Anthony Marques,barbosastephany@example.org,21 4251-3542,1979-10-23,Masculino,Rio de Janeiro,RJ,921199.22,Investidor,2023-05-19
22,Ísis Santos,sarah08@example.com,+55 51 2411 8244,1991-10-23,Masculino,Salvador,BA,178369.88,Dentista,2024-06-08
23,Giovanna Silva,nicolas48@example.com,+55 61 0164-0052,1995-10-23,Feminino,Campinas,SP,419536.24,Contador,2022-06-17
24,Julia Castro,tnovaes@example.com,84 0112-8059,1980-10-22,Feminino,Porto Alegre,RS,1326507.49,Contador,2024-02-02
25,Clara Lopes,bryandas-neves@example.com,+55 (061) 5331 5869,1988-10-22,Feminino,Campinas,SP,587961.91,Dentista,2023-10-29
26,Srta. Isabela Castro,juliaalves@example.org,(071) 6342 1607,1997-10-22,Feminino,Goiânia,GO,659309.46,Agente Esportivo,2024-08-07
27,Guilherme Marques,ana-laura33@example.org,+55 (071) 6541-4586,1990-10-22,Masculino,Recife,PE,828788.26,Investidor,2024-01-16
28,Zoe Farias,camargovicente@example.org,0800 401 9655,1972-10-22,Masculino,Fortaleza,CE,492680.62,Professor Universitário,2024-02-01
29,Sophia Camargo,moliveira@example.com,+55 (061) 6088 3561,1969-10-22,Masculino,Vitória,ES,869722.61,Agente Esportivo,2023-06-28
30,Luísa Pinto,josue48@example.com,81 5648 2366,1991-10-23,Masculino,Campinas,SP,409644.31,Diretor de Empresa,2023-10-09
31,Emanuella Pimenta,jade80@example.com,(011) 3699 5777,1990-10-22,Masculino,Belo Horizonte,MG,697633.33,Médico,2024-09-08
32,Hadassa Moraes,yvieira@example.net,+55 (041) 1489-5134,1982-10-22,Masculino,Salvador,BA,2080973.8,Dentista,2023-03-26
33,Gael Henrique Casa Grande,aparecidasamuel@example.com,0800-176-9367,1979-10-23,Feminino,Belo Horizonte,MG,698790.4,Delegado,2024-08-18
34,Isabelly Casa Grande,saheitor@example.com,+55 21 2870-8317,1988-10-22,Masculino,Belo Horizonte,MG,1361196.28,Agente Esportivo,2023-03-28
35,Ravi Rios,luisa98@example.com,81 7277-4348,1974-10-22,Masculino,Salvador,BA,978637.63,Agente Esportivo,2022-03-15
36,Isabella da Mota,tbarbosa@example.com,+55 41 4558-1223,1972-10-22,Masculino,Brasília,DF,1077569.91,Dentista,2022-06-06
37,Daniela Santos,davi-lucasleao@example.com,(071) 8760 3669,1985-10-22,Masculino,Belo Horizonte,MG,1418070.81,Promotor,2024-03-21
38,Srta. Maria Helena Mendes,fogacaana-cecilia@example.com,84 8893 7346,1975-10-23,Masculino,São José dos Campos,SP,634482.78,Delegado,2023-07-12
39,Ana Gomes,jade27@example.org,0900-806-9901,1992-10-22,Masculino,Vitória,ES,398973.7,Delegado,2022-08-07
40,Mariane Carvalho,dcirino@example.com,41 5375 5646,1978-10-22,Masculino,Porto Alegre,RS,1708460.59,Investidor,2022-10-06
41,Bruno Melo,souzavalentina@example.org,(084) 3100 3309,1992-10-22,Feminino,Recife,PE,234155.24,Cirurgião,2024-03-23
42,Isaque Cardoso,hrios@example.net,+55 11 7452-9912,1995-10-23,Feminino,Florianópolis,SC,281409.63,Médico,2024-06-28
43,Cauê Pacheco,das-nevesfernanda@example.com,+55 (081) 1931-4919,1996-10-22,Masculino,Brasília,DF,422531.73,Agente Esportivo,2024-05-21
44,Luiz Felipe Nascimento,xribeiro@example.org,21 5067-1657,1980-10-22,Masculino,Florianópolis,SC,365575.59,Desenvolvedor de Software,2024-02-08
45,Srta. Maya Cavalcanti,stephany77@example.com,0900 453 1473,1984-10-22,Masculino,Salvador,BA,1006903.95,Professor Universitário,2024-08-23
46,Maria Helena Fernandes,monteiroaylla@example.org,(084) 3545-4948,1994-10-22,Masculino,Recife,PE,176177.45,Dentista,2022-05-18
47,Valentim Correia,da-costajoana@example.com,84 3777-0143,1975-10-23,Masculino,Campinas,SP,320490.14,Engenheiro,2024-12-08
48,Isabelly das Neves,maria-julia88@example.com,(011) 8557-4443,1979-10-23,Masculino,Florianópolis,SC,1201412.29,Agente Esportivo,2023-07-04
49,Gael Dias,souzastella@example.net,+55 (061) 3374-9894,1988-10-22,Masculino,Rio de Janeiro,RJ,453932.84,Piloto,2023-02-04
50,Gael da Rocha,eloahcavalcanti@example.com,+55 (021) 8240 0842,1988-10-22,Masculino,Brasília,DF,449301.02,Gestor de TI,2022-07-25
51,Rebeca Caldeira,oliveiraalice@example.com,(081) 7520-4711,1975-10-23,Masculino,São José dos Campos,SP,1073677.52,Dentista,2024-12-25
52,Rebeca Barbosa,cassianokaique@example.net,(031) 1318 6999,1974-10-22,Feminino,Florianópolis,SC,562118.54,Consultor,2022-03-12
53,Vicente Garcia,tmacedo@example.net,(011) 4990-9133,1977-10-22,Masculino,Vitória,ES,1595204.34,Engenheiro,2022-02-26
54,Bruno Castro,luiz-felipenovaes@example.org,+55 (031) 0679-7403,1988-10-22,Masculino,Manaus,AM,1474207.53,Agente Esportivo,2023-04-30
55,João Miguel Sampaio,rbarbosa@example.org,+55 71 9361-8324,1980-10-22,Masculino,Goiânia,GO,1178746.72,Executivo,2022-02-26
56,Brayan Araújo,ana-lizpeixoto@example.net,0300 471 7464,1966-10-22,Masculino,Porto Alegre,RS,718454.54,Consultor,2024-02-22
57,Ágatha Monteiro,mbarros@example.org,(021) 5940-1399,1978-10-22,Masculino,Vitória,ES,635970.17,Empresário,2022-01-10
58,João Felipe Oliveira,teixeiraluiz-fernando@example.com,41 7429-6717,1986-10-22,Feminino,Fortaleza,CE,971054.48,Empresário,2023-03-09
59,Dr. Lucas Gabriel Duarte,castrobella@example.com,11 4680-7154,1988-10-22,Feminino,Vitória,ES,793660.06,Contador,2024-05-16
60,Sr. Nathan Moraes,ribeirovitoria@example.com,81 0385 9770,1994-10-22,Feminino,Belo Horizonte,MG,378933.91,Médico,2023-04-12
61,João Felipe Novaes,aliciamacedo@example.net,(084) 1093-2480,1976-10-22,Masculino,Vitória,ES,324622.37,Delegado,2023-08-26
62,Maria Luísa Borges,ianmartins@example.org,+55 (021) 7484-6773,1979-10-23,Feminino,Rio de Janeiro,RJ,749843.54,Cirurgião,2024-07-23
