cliente_id,nome,idade,renda_anual,total_compras,valor_total_gasto,cluster,cluster_nome
1,Brenda Alves,47,442980.71,1,1991354.8499999999,1,🌟 Alto Valor
2,Thiago Pereira,38,2024137.64,0,0.0,3,🆕 Novos/Inativos
3,Dr. Eduardo Cunha,41,821493.12,0,0.0,3,🆕 Novos/Inativos
4,Yuri da Rocha,43,1167394.82,0,0.0,0,💎 VIP Premium
5,Léo Fogaça,37,553565.77,0,0.0,3,🆕 Novos/Inativos
6,Hellena Rodrigues,33,269216.99,0,0.0,3,🆕 Novos/Inativos
7,Natália Casa Grande,57,592368.83,0,0.0,3,🆕 Novos/Inativos
8,Ayla Sá,38,445086.85,1,1112893.23,3,🆕 Novos/Inativos
9,Yuri Albuquerque,33,292997.96,0,0.0,0,💎 VIP Premium
10,Thiago Caldeira,41,408656.34,1,1260552.96,1,🌟 Alto Valor
11,Luiz Miguel das Neves,39,691777.59,1,1947000.72,1,🌟 Alto Valor
12,João Moura,46,1540285.67,1,1318900.3,0,💎 VIP Premium
13,Benício Fernandes,34,139117.87,0,0.0,3,🆕 Novos/Inativos
14,Isabela da Mota,28,257956.82,0,0.0,0,💎 VIP Premium
15,Pedro Fogaça,38,1494742.92,2,1945927.02,1,🌟 Alto Valor
16,Melissa Carvalho,51,276391.59,0,0.0,3,🆕 Novos/Inativos
17,Enzo Jesus,43,765233.81,1,1211959.58,1,🌟 Alto Valor
18,Dra. Raquel Cassiano,47,1205996.76,2,5955688.11,1,🌟 Alto Valor
19,Vitória Castro,28,418531.04,0,0.0,0,💎 VIP Premium
20,Ana Cecília Pinto,47,1322101.89,1,860133.19,1,🌟 Alto Valor
21,Sr. Anthony Marques,46,921199.22,0,0.0,0,💎 VIP Premium
22,Ísis Santos,34,178369.88,0,0.0,3,🆕 Novos/Inativos
23,Giovanna Silva,30,419536.24,0,0.0,3,🆕 Novos/Inativos
24,Julia Castro,45,1326507.49,1,837837.42,1,🌟 Alto Valor
25,Clara Lopes,37,587961.91,1,581355.55,0,💎 VIP Premium
26,Srta. Isabela Castro,28,659309.46,2,2995110.16,1,🌟 Alto Valor
27,Guilherme Marques,35,828788.26,1,2774333.9,1,🌟 Alto Valor
28,Zoe Farias,53,492680.62,0,0.0,0,💎 VIP Premium
29,Sophia Camargo,56,869722.61,1,3911256.0,1,🌟 Alto Valor
30,Luísa Pinto,34,409644.31,0,0.0,0,💎 VIP Premium
31,Emanuella Pimenta,35,697633.33,0,0.0,0,💎 VIP Premium
32,Hadassa Moraes,43,2080973.8,2,15742286.799999999,2,📈 Em Crescimento
