venda_id,cliente_id,veiculo_id,vendedor_id,data_venda,valor_venda,desconto_percentual,forma_pagamento,numero_parcelas,valor_entrada,status_venda,cliente_nome,idade_cliente,genero,cidade,estado,renda_anual,profissao,marca,modelo,ano_fabricacao,potencia_cv,cilindradas,categoria,preco_base,vendedor_nome,comissao_percentual,ano,mes,ano_mes,trimestre
1,549,5,13,2023-06-24,1538659.37,2.21,Financiamento,60,551026.6,Concluída,Dra. Vitória Campos,49,Feminino,São Paulo,SP,995311.89,Médico,Ferrari,812 Superfast,2022,800,6.5,Gran Turismo,1573432.22,Paulo da Mota,4.99,2023,6,2023-06,2023Q2
4,953,32,3,2023-12-11,813801.15,5.49,Financiamento,60,310860.6,Concluída,Aylla Moura,45,Masculino,São Paulo,SP,2055289.81,Agente Esportivo,Mercedes-AMG,GT,2024,530,4.0,Esportivo,861074.12,Lucas Gabriel Souza,4.89,2023,12,2023-12,2023Q4
5,160,3,2,2023-08-11,954343.7,3.41,Consórcio,84,0.0,Concluída,Henrique Mendes,48,Masculino,Brasília,DF,1502407.0,Delegado,Ferrari,Roma,2022,620,3.9,Gran Turismo,988035.72,Maya Mendonça,3.07,2023,8,2023-08,2023Q3
6,1190,32,6,2023-02-05,797010.21,7.44,Consórcio,60,0.0,Concluída,Luiz Fernando Duarte,34,Masculino,São José dos Campos,SP,547788.12,Delegado,Mercedes-AMG,GT,2024,530,4.0,Esportivo,861074.12,Sr. Joaquim Almeida,4.76,2023,2,2023-02,2023Q1
7,418,37,13,2024-04-15,578431.1,6.38,À vista,1,578431.1,Concluída,João Lucas da Cunha,39,Masculino,Fortaleza,CE,1484831.52,Advogado,Audi,RS5,2025,450,2.9,Esportivo,617849.93,Paulo da Mota,4.99,2024,4,2024-04,2024Q2
8,1041,35,10,2023-04-08,744718.93,5.67,Financiamento,48,165967.27,Concluída,Maria Liz Montenegro,47,Masculino,Rio de Janeiro,RJ,1399619.1,Gestor de TI,Mercedes-AMG,E63 S,2023,612,4.0,Esportivo,789482.59,Manuela Barros,4.09,2023,4,2023-04,2023Q2
9,1693,4,9,2024-03-26,800785.04,5.85,Financiamento,48,212038.13,Concluída,Melina Pinto,36,Masculino,Goiânia,GO,1627174.55,Piloto,Ferrari,Portofino,2023,600,3.9,Conversível,850541.73,Miguel Abreu,4.23,2024,3,2024-03,2024Q1
10,1767,14,4,2023-12-05,657702.24,5.93,Leasing,36,65770.22,Concluída,Gael Câmara,53,Masculino,Goiânia,GO,811605.03,Engenheiro,Porsche,Taycan,2023,560,0.0,Esportivo Elétrico,699162.58,Ana Luiza Caldeira,4.81,2023,12,2023-12,2023Q4
11,609,18,4,2023-06-16,844252.71,7.23,À vista,1,844252.71,Concluída,Hadassa Marques,43,Masculino,Florianópolis,SC,1774123.66,Arquiteto,Aston Martin,Vantage,2024,510,4.0,Esportivo,910049.27,Ana Luiza Caldeira,4.81,2023,6,2023-06,2023Q2
12,174,18,7,2023-07-18,860087.57,5.49,Financiamento,48,212025.39,Concluída,Sr. Luan Gomes,61,Masculino,Goiânia,GO,881037.51,Delegado,Aston Martin,Vantage,2024,510,4.0,Esportivo,910049.27,Cecilia Borges,3.35,2023,7,2023-07,2023Q3
